schema_name,table_name,index_name,access_method,is_primary,is_unique,is_valid,is_ready,is_clustered,is_exclusion,is_replica_identity,ddl,predicate,expressions
auth,audit_log_entries,audit_log_entries_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id),null,null
auth,audit_log_entries,audit_logs_instance_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id),null,null
auth,flow_state,flow_state_created_at_idx,btree,false,false,true,true,false,false,false,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC),null,null
auth,flow_state,flow_state_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX flow_state_pkey ON auth.flow_state USING btree (id),null,null
auth,flow_state,idx_auth_code,btree,false,false,true,true,false,false,false,CREATE INDEX idx_auth_code ON auth.flow_state USING btree (auth_code),null,null
auth,flow_state,idx_user_id_auth_method,btree,false,false,true,true,false,false,false,"CREATE INDEX idx_user_id_auth_method ON auth.flow_state USING btree (user_id, authentication_method)",null,null
auth,identities,identities_email_idx,btree,false,false,true,true,false,false,false,CREATE INDEX identities_email_idx ON auth.identities USING btree (email text_pattern_ops),null,null
auth,identities,identities_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX identities_pkey ON auth.identities USING btree (id),null,null
auth,identities,identities_provider_id_provider_unique,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX identities_provider_id_provider_unique ON auth.identities USING btree (provider_id, provider)",null,null
auth,identities,identities_user_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX identities_user_id_idx ON auth.identities USING btree (user_id),null,null
auth,instances,instances_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX instances_pkey ON auth.instances USING btree (id),null,null
auth,mfa_amr_claims,amr_id_pk,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX amr_id_pk ON auth.mfa_amr_claims USING btree (id),null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX mfa_amr_claims_session_id_authentication_method_pkey ON auth.mfa_amr_claims USING btree (session_id, authentication_method)",null,null
auth,mfa_challenges,mfa_challenge_created_at_idx,btree,false,false,true,true,false,false,false,CREATE INDEX mfa_challenge_created_at_idx ON auth.mfa_challenges USING btree (created_at DESC),null,null
auth,mfa_challenges,mfa_challenges_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX mfa_challenges_pkey ON auth.mfa_challenges USING btree (id),null,null
auth,mfa_factors,factor_id_created_at_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX factor_id_created_at_idx ON auth.mfa_factors USING btree (user_id, created_at)",null,null
auth,mfa_factors,mfa_factors_last_challenged_at_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX mfa_factors_last_challenged_at_key ON auth.mfa_factors USING btree (last_challenged_at),null,null
auth,mfa_factors,mfa_factors_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX mfa_factors_pkey ON auth.mfa_factors USING btree (id),null,null
auth,mfa_factors,mfa_factors_user_friendly_name_unique,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)",TRIM(BOTH FROM friendly_name) <> ''::text,null
auth,mfa_factors,mfa_factors_user_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX mfa_factors_user_id_idx ON auth.mfa_factors USING btree (user_id),null,null
auth,mfa_factors,unique_phone_factor_per_user,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)",null,null
auth,oauth_authorizations,oauth_auth_pending_exp_idx,btree,false,false,true,true,false,false,false,CREATE INDEX oauth_auth_pending_exp_idx ON auth.oauth_authorizations USING btree (expires_at) WHERE (status = 'pending'::auth.oauth_authorization_status),status = 'pending'::auth.oauth_authorization_status,null
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_authorizations_authorization_code_key ON auth.oauth_authorizations USING btree (authorization_code),null,null
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_authorizations_authorization_id_key ON auth.oauth_authorizations USING btree (authorization_id),null,null
auth,oauth_authorizations,oauth_authorizations_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_authorizations_pkey ON auth.oauth_authorizations USING btree (id),null,null
auth,oauth_client_states,idx_oauth_client_states_created_at,btree,false,false,true,true,false,false,false,CREATE INDEX idx_oauth_client_states_created_at ON auth.oauth_client_states USING btree (created_at),null,null
auth,oauth_client_states,oauth_client_states_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_client_states_pkey ON auth.oauth_client_states USING btree (id),null,null
auth,oauth_clients,oauth_clients_deleted_at_idx,btree,false,false,true,true,false,false,false,CREATE INDEX oauth_clients_deleted_at_idx ON auth.oauth_clients USING btree (deleted_at),null,null
auth,oauth_clients,oauth_clients_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_clients_pkey ON auth.oauth_clients USING btree (id),null,null
auth,oauth_consents,oauth_consents_active_client_idx,btree,false,false,true,true,false,false,false,CREATE INDEX oauth_consents_active_client_idx ON auth.oauth_consents USING btree (client_id) WHERE (revoked_at IS NULL),revoked_at IS NULL,null
auth,oauth_consents,oauth_consents_active_user_client_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX oauth_consents_active_user_client_idx ON auth.oauth_consents USING btree (user_id, client_id) WHERE (revoked_at IS NULL)",revoked_at IS NULL,null
auth,oauth_consents,oauth_consents_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX oauth_consents_pkey ON auth.oauth_consents USING btree (id),null,null
auth,oauth_consents,oauth_consents_user_client_unique,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX oauth_consents_user_client_unique ON auth.oauth_consents USING btree (user_id, client_id)",null,null
auth,oauth_consents,oauth_consents_user_order_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX oauth_consents_user_order_idx ON auth.oauth_consents USING btree (user_id, granted_at DESC)",null,null
auth,one_time_tokens,one_time_tokens_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX one_time_tokens_pkey ON auth.one_time_tokens USING btree (id),null,null
auth,one_time_tokens,one_time_tokens_relates_to_hash_idx,hash,false,false,true,true,false,false,false,CREATE INDEX one_time_tokens_relates_to_hash_idx ON auth.one_time_tokens USING hash (relates_to),null,null
auth,one_time_tokens,one_time_tokens_token_hash_hash_idx,hash,false,false,true,true,false,false,false,CREATE INDEX one_time_tokens_token_hash_hash_idx ON auth.one_time_tokens USING hash (token_hash),null,null
auth,one_time_tokens,one_time_tokens_user_id_token_type_key,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)",null,null
auth,refresh_tokens,refresh_tokens_instance_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX refresh_tokens_instance_id_idx ON auth.refresh_tokens USING btree (instance_id),null,null
auth,refresh_tokens,refresh_tokens_instance_id_user_id_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX refresh_tokens_instance_id_user_id_idx ON auth.refresh_tokens USING btree (instance_id, user_id)",null,null
auth,refresh_tokens,refresh_tokens_parent_idx,btree,false,false,true,true,false,false,false,CREATE INDEX refresh_tokens_parent_idx ON auth.refresh_tokens USING btree (parent),null,null
auth,refresh_tokens,refresh_tokens_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX refresh_tokens_pkey ON auth.refresh_tokens USING btree (id),null,null
auth,refresh_tokens,refresh_tokens_session_id_revoked_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX refresh_tokens_session_id_revoked_idx ON auth.refresh_tokens USING btree (session_id, revoked)",null,null
auth,refresh_tokens,refresh_tokens_token_unique,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX refresh_tokens_token_unique ON auth.refresh_tokens USING btree (token),null,null
auth,refresh_tokens,refresh_tokens_updated_at_idx,btree,false,false,true,true,false,false,false,CREATE INDEX refresh_tokens_updated_at_idx ON auth.refresh_tokens USING btree (updated_at DESC),null,null
auth,saml_providers,saml_providers_entity_id_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX saml_providers_entity_id_key ON auth.saml_providers USING btree (entity_id),null,null
auth,saml_providers,saml_providers_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX saml_providers_pkey ON auth.saml_providers USING btree (id),null,null
auth,saml_providers,saml_providers_sso_provider_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX saml_providers_sso_provider_id_idx ON auth.saml_providers USING btree (sso_provider_id),null,null
auth,saml_relay_states,saml_relay_states_created_at_idx,btree,false,false,true,true,false,false,false,CREATE INDEX saml_relay_states_created_at_idx ON auth.saml_relay_states USING btree (created_at DESC),null,null
auth,saml_relay_states,saml_relay_states_for_email_idx,btree,false,false,true,true,false,false,false,CREATE INDEX saml_relay_states_for_email_idx ON auth.saml_relay_states USING btree (for_email),null,null
auth,saml_relay_states,saml_relay_states_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX saml_relay_states_pkey ON auth.saml_relay_states USING btree (id),null,null
auth,saml_relay_states,saml_relay_states_sso_provider_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id),null,null
auth,schema_migrations,schema_migrations_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version),null,null
auth,sessions,sessions_not_after_idx,btree,false,false,true,true,false,false,false,CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC),null,null
auth,sessions,sessions_oauth_client_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id),null,null
auth,sessions,sessions_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id),null,null
auth,sessions,sessions_user_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id),null,null
auth,sessions,user_id_created_at_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)",null,null
auth,sso_domains,sso_domains_domain_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain)),null,lower(domain)
auth,sso_domains,sso_domains_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id),null,null
auth,sso_domains,sso_domains_sso_provider_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id),null,null
auth,sso_providers,sso_providers_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id),null,null
auth,sso_providers,sso_providers_resource_id_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id)),null,lower(resource_id)
auth,sso_providers,sso_providers_resource_id_pattern_idx,btree,false,false,true,true,false,false,false,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops),null,null
auth,users,confirmation_token_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text),confirmation_token::text !~ '^[0-9 ]*$'::text,null
auth,users,email_change_token_current_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text),email_change_token_current::text !~ '^[0-9 ]*$'::text,null
auth,users,email_change_token_new_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text),email_change_token_new::text !~ '^[0-9 ]*$'::text,null
auth,users,reauthentication_token_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text),reauthentication_token::text !~ '^[0-9 ]*$'::text,null
auth,users,recovery_token_idx,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text),recovery_token::text !~ '^[0-9 ]*$'::text,null
auth,users,users_email_partial_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false),is_sso_user = false,null
auth,users,users_instance_id_email_idx,btree,false,false,true,true,false,false,false,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))",null,lower(email::text)
auth,users,users_instance_id_idx,btree,false,false,true,true,false,false,false,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id),null,null
auth,users,users_is_anonymous_idx,btree,false,false,true,true,false,false,false,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous),null,null
auth,users,users_phone_key,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone),null,null
auth,users,users_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id),null,null
cron,job,job_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX job_pkey ON cron.job USING btree (jobid),null,null
cron,job,jobname_username_uniq,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX jobname_username_uniq ON cron.job USING btree (jobname, username)",null,null
cron,job_run_details,job_run_details_pkey,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX job_run_details_pkey ON cron.job_run_details USING btree (runid),null,null
net,_http_response,_http_response_created_idx,btree,false,false,true,true,false,false,false,CREATE INDEX _http_response_created_idx ON net._http_response USING btree (created),null,null
pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_aggregate_fnoid_index ON pg_catalog.pg_aggregate USING btree (aggfnoid),null,null
pg_catalog,pg_am,pg_am_name_index,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_am_name_index ON pg_catalog.pg_am USING btree (amname),null,null
pg_catalog,pg_am,pg_am_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_am_oid_index ON pg_catalog.pg_am USING btree (oid),null,null
pg_catalog,pg_amop,pg_amop_fam_strat_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_amop_fam_strat_index ON pg_catalog.pg_amop USING btree (amopfamily, amoplefttype, amoprighttype, amopstrategy)",null,null
pg_catalog,pg_amop,pg_amop_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_amop_oid_index ON pg_catalog.pg_amop USING btree (oid),null,null
pg_catalog,pg_amop,pg_amop_opr_fam_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_amop_opr_fam_index ON pg_catalog.pg_amop USING btree (amopopr, amoppurpose, amopfamily)",null,null
pg_catalog,pg_amproc,pg_amproc_fam_proc_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_amproc_fam_proc_index ON pg_catalog.pg_amproc USING btree (amprocfamily, amproclefttype, amprocrighttype, amprocnum)",null,null
pg_catalog,pg_amproc,pg_amproc_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_amproc_oid_index ON pg_catalog.pg_amproc USING btree (oid),null,null
pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attrdef_adrelid_adnum_index ON pg_catalog.pg_attrdef USING btree (adrelid, adnum)",null,null
pg_catalog,pg_attrdef,pg_attrdef_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_attrdef_oid_index ON pg_catalog.pg_attrdef USING btree (oid),null,null
pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attribute_relid_attnam_index ON pg_catalog.pg_attribute USING btree (attrelid, attname)",null,null
pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,btree,true,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attribute_relid_attnum_index ON pg_catalog.pg_attribute USING btree (attrelid, attnum)",null,null
pg_catalog,pg_auth_members,pg_auth_members_grantor_index,btree,false,false,true,true,false,false,false,CREATE INDEX pg_auth_members_grantor_index ON pg_catalog.pg_auth_members USING btree (grantor),null,null
pg_catalog,pg_auth_members,pg_auth_members_member_role_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_auth_members_member_role_index ON pg_catalog.pg_auth_members USING btree (member, roleid, grantor)",null,null
pg_catalog,pg_auth_members,pg_auth_members_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_auth_members_oid_index ON pg_catalog.pg_auth_members USING btree (oid),null,null
pg_catalog,pg_auth_members,pg_auth_members_role_member_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_auth_members_role_member_index ON pg_catalog.pg_auth_members USING btree (roleid, member, grantor)",null,null
pg_catalog,pg_authid,pg_authid_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_authid_oid_index ON pg_catalog.pg_authid USING btree (oid),null,null
pg_catalog,pg_authid,pg_authid_rolname_index,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_authid_rolname_index ON pg_catalog.pg_authid USING btree (rolname),null,null
pg_catalog,pg_cast,pg_cast_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_cast_oid_index ON pg_catalog.pg_cast USING btree (oid),null,null
pg_catalog,pg_cast,pg_cast_source_target_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_cast_source_target_index ON pg_catalog.pg_cast USING btree (castsource, casttarget)",null,null
pg_catalog,pg_class,pg_class_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_class_oid_index ON pg_catalog.pg_class USING btree (oid),null,null
