indexname,tablename
admin_sessions_pkey,admin_sessions
admin_sessions_token_key,admin_sessions
idx_admin_sessions_token,admin_sessions
idx_admin_sessions_admin_id,admin_sessions
idx_admin_sessions_expires_at,admin_sessions
payment_idempotency_pkey,payment_idempotency
payment_idempotency_idempotency_key_key,payment_idempotency
idx_payment_idempotency_key,payment_idempotency
idx_payment_idempotency_expires,payment_idempotency
idx_payment_idempotency_cuid,payment_idempotency
idx_joincompetition_userid,joincompetition
idx_joincompetition_wallet,joincompetition
idx_joincompetition_competition,joincompetition
joincompetition_pkey,joincompetition
idx_joincompetition_user_comp,joincompetition
idx_joincompetition_uid,joincompetition
uniq_joincompetition_tx_comp,joincompetition
idx_joincompetition_competitionid_tickets,joincompetition
idx_joincompetition_competitionid,joincompetition
idx_joincompetition_comp,joincompetition
idx_joincompetition_wallet_lower,joincompetition
idx_joincompetition_walletaddress_lower,joincompetition
idx_joincompetition_canonical_user_id,joincompetition
idx_joincompetition_cuid,joincompetition
idx_joincompetition_privy_user_id,joincompetition
idx_orders_user_id,orders
idx_orders_status,orders
orders_pkey,orders
idx_orders_competition,orders
idx_orders_completed_at,orders
idx_orders_competition_status,orders
idx_orders_status_created,orders
idx_orders_user_comp,orders
idx_orders_cuid,orders
Prize_Instantprizes_pkey,Prize_Instantprizes
idx_instant_prizes_competition,Prize_Instantprizes
idx_instant_prizes_winning_ticket,Prize_Instantprizes
idx_instant_prizes_unclaimed,Prize_Instantprizes
internal_transfers_pkey,internal_transfers
internal_transfers_transfer_id_key,internal_transfers
idx_internal_transfers_from_user_id,internal_transfers
idx_internal_transfers_to_user_id,internal_transfers
idx_internal_transfers_status,internal_transfers
ux_pending_ticket_items_comp_ticket_pending,pending_ticket_items
pending_ticket_items_pkey,pending_ticket_items
idx_pending_ticket_items_comp_ticket,pending_ticket_items
idx_pending_ticket_items_comp_expires,pending_ticket_items
idx_pending_ticket_items_status_expires,pending_ticket_items
idx_pending_ticket_items_header,pending_ticket_items
ux_pending_pending_hold,pending_ticket_items
uq_pending_ticket_items_active,pending_ticket_items
idx_pending_items_competition_ticket,pending_ticket_items
idx_pending_items_comp_status_expires,pending_ticket_items
idx_pti_comp_tn,pending_ticket_items
idx_pti_pending_not_exp,pending_ticket_items
ux_pending_item_comp_ticket,pending_ticket_items
idx_pending_ticket_items_competition,pending_ticket_items
ux_pending_ticket_items_comp_ticket,pending_ticket_items
idx_pending_tickets_status,pending_tickets
idx_pending_tickets_expires,pending_tickets
pending_tickets_pkey,pending_tickets
idx_pending_tickets_id,pending_tickets
idx_pending_tickets_user_status,pending_tickets
idx_pending_tickets_comp_status_user,pending_tickets
idx_pending_tickets_competition_status,pending_tickets
idx_pending_tickets_comp_status_exp,pending_tickets
idx_pending_tickets_comp_status,pending_tickets
idx_pending_tickets_identifiers,pending_tickets
idx_pending_tickets_wallet_lower,pending_tickets
idx_pending_tickets_competition,pending_tickets
idx_pending_tickets_canonical_user_id,pending_tickets
idx_pending_tickets_user_id_lower,pending_tickets
idx_pending_tickets_idempotency,pending_tickets
idx_pt_reservation,pending_tickets
idx_pending_tickets_comp_id,pending_tickets
idx_pending_tickets_reservation,pending_tickets
idx_pending_tickets_comp_user,pending_tickets
idx_pending_tickets_active,pending_tickets
idx_pending_tickets_canonical_user,pending_tickets
idx_pending_tickets_wallet,pending_tickets
idx_pending_tickets_privy,pending_tickets
idx_pending_tickets_active_partial,pending_tickets
ux_pending_tickets_reservation_id,pending_tickets
payments_jobs_pkey,payments_jobs
idx_payments_jobs_status_run,payments_jobs
idx_user_transactions_competition_id,user_transactions
idx_user_transactions_webhook_ref,user_transactions
idx_user_transactions_charge_id,user_transactions
idx_user_transactions_type,user_transactions
idx_user_transactions_status,user_transactions
idx_user_transactions_user_comp,user_transactions
idx_user_transactions_created_at,user_transactions
idx_user_transactions_updated_at,user_transactions
user_transactions_pkey,user_transactions
uniq_user_tx_reservation_desc,user_transactions
idx_ut_canonical_created,user_transactions
idx_ut_status_type,user_transactions
user_transactions_webhook_ref_key,user_transactions
user_transactions_charge_id_key,user_transactions
idx_user_transactions_privy,user_transactions